日付,レギュラーガソリン価格(\/L),原油価格($/bbl),月中平均為替相場（USD/JPY）,c重油価格(\/kL),輸入物価指数（b重油・c重油）,輸入物価指数（原油）
2013年1月,146,105.1,89.15,70050,170,205.4
2013年2月,152,107.64,93.07,70050,177.2,217.7
2013年3月,153,102.52,94.73,70050,180.9,225.8
2013年4月,153,98.85,97.74,73050,182.4,220.4
2013年5月,150,99.37,101.01,73050,184.1,218
2013年6月,150,99.74,97.52,73050,178.9,208.4
2013年7月,153,105.26,99.66,73150,181.3,215.4
2013年8月,158,108.16,97.83,73150,176.8,216
2013年9月,159,108.76,99.3,73150,180.4,230.4
2013年10月,154,105.43,97.73,75750,179.6,228.8
2013年11月,154,102.63,100.04,75750,182.7,231.1
2013年12月,154,105.48,103.42,75750,191.5,239.1
2014年1月,157,102.1,103.94,78400,193.7,240.1
2014年2月,156,104.83,102.02,78400,189.3,232.1
2014年3月,159,104.04,102.3,78400,188.9,231
2014年4月,163,104.87,102.54,76650,190,229.4
2014年5月,165,105.71,101.78,76650,188.9,227.7
2014年6月,166,108.37,102.05,76650,194,230
2014年7月,168,105.23,101.73,76650,188.4,234
2014年8月,166,100.05,102.95,76650,188,233
2014年9月,166,95.85,107.16,76650,191.5,233.8
2014年10月,163,86.08,108.03,69300,172.3,223.7
2014年11月,157,76.99,116.24,69300,165.6,216
2014年12月,149,60.7,119.29,69300,137.5,191.3
2015年1月,137,47.11,118.25,50100,111,151.1
2015年2月,132,54.79,118.59,50100,132.8,112.4
2015年3月,138,52.83,120.37,50100,127.9,139.9
2015年4月,137,57.54,119.57,53900,132.4,137.2
2015年5月,139,62.51,120.82,53900,148,150
2015年6月,144,61.31,123.7,53900,146.4,166.3
2015年7月,142,54.34,123.31,51400,128,159.8
2015年8月,137,45.69,123.17,51400,106,146.5
2015年9月,133,46.28,120.13,51400,99.1,121
2015年10月,131,46.96,119.99,42300,98.7,115.8
2015年11月,128,43.11,122.58,42300,97.3,119
2015年12月,123,36.57,121.78,42300,83.1,105.9
2016年1月,114,29.78,118.18,31350,73.7,86.9
2016年2月,111,31.03,115.01,31350,71.4,66.3
2016年3月,109,37.34,113.05,31350,66.4,72.6
2016年4月,115,40.75,109.72,35500,69.4,84.4
2016年5月,117,45.94,109.24,35500,77.1,91.1
2016年6月,122,47.69,105.44,35500,82.2,100.9
2016年7月,120,44.13,103.97,37450,87.5,103.7
2016年8月,118,44.88,101.28,37450,87.6,92.9
2016年9月,120,45.04,101.99,37450,90,94.9
2016年10月,120,49.29,103.81,39050,96.6,94.9
2016年11月,124,45.26,108.33,39050,105.2,112.8
2016年12月,126,52.62,116.01,39050,123,110.2
2017年1月,128,53.59,114.69,48150,129.5,128.9
2017年2月,127,54.35,113.13,48150,132.2,128.5
2017年3月,132,50.9,113.02,48150,129.2,131.2
2017年4月,132,52.16,110.08,45300,123.7,120.8
2017年5月,131,49.89,112.24,45300,124.6,124.2
2017年6月,130,46.17,110.89,45300,121.8,117.8
2017年7月,130,47.66,112.5,43000,121.1,109.9
2017年8月,130,49.94,109.9,43000,119.8,111.4
2017年9月,130,52.95,110.67,43000,125.1,118.5
2017年10月,133,54.92,112.94,49450,132.5,129.7
2017年11月,138,59.93,112.89,49450,140.8,135.1
2017年12月,139,61.19,112.96,49450,145.7,147.7
2018年1月,140,66.23,110.74,53950,148.9,148.7
2018年2月,142,63.46,107.9,53950,145.3,155.2
2018年3月,142,64.17,106.01,53950,141.8,144.1
2018年4月,142,68.79,107.49,55750,144.7,146
2018年5月,146,73.43,109.74,55750,158.1,161
2018年6月,152,71.98,110.02,55750,168.5,174.9
2018年7月,151,72.67,111.41,61050,178.6,176.3
2018年8月,151,71.08,111.06,61050,180.2,175.2
2018年9月,152,75.36,111.91,61050,182.7,174.3
2018年10月,157,76.73,112.81,63200,190.7,186.4
2018年11月,155,62.32,113.36,63200,190.3,192.9
2018年12月,145,53.96,112.38,63200,176.8,159.9
2019年1月,139,56.58,108.97,52000,157.5,136.5
2019年2月,141,61.13,110.36,52000,154.6,140
2019年3月,144,63.79,111.22,52000,162.3,153.5
2019年4月,145,68.58,111.63,58250,169.9,160
2019年5月,150,66.83,109.76,58250,167,166.5
2019年6月,146,59.76,108.07,58250,158.3,161.5
2019年7月,143,61.48,108.23,53050,162.7,145.8
2019年8月,143,57.67,106.34,53050,151.5,147.4
2019年9月,141,60.04,107.4,53050,156.5,139.6
2019年10月,146,57.27,108.12,52200,148,144.5
2019年11月,145,60.4,108.88,52200,149.1,143.7
2019年12月,147,63.35,109.18,52200,154,150.8
2020年1月,151,61.63,109.38,50450,165.4,159.4
2020年2月,148,53.35,109.96,50450,149.8,159.3
2020年3月,144,32.2,107.42,50450,116.7,131.2
2020年4月,133,21.04,107.85,27750,85.3,86.4
2020年5月,126,30.38,107.28,27750,68.4,43.1
2020年6月,131,39.46,107.6,27750,74.8,56.9
2020年7月,131,42.07,106.75,37300,83.2,80.8
2020年8月,134,43.44,106.02,37300,89.1,99.2
